state,year,species_cum,latitude,longitude
Queensland,2000,17224,-22.5,144.5
Queensland,2001,17989,-22.5,144.5
Queensland,2002,18755,-22.5,144.5
Queensland,2003,19520,-22.5,144.5
Queensland,2004,20669,-22.5,144.5
Queensland,2005,21817,-22.5,144.5
Queensland,2006,22582,-22.5,144.5
Queensland,2007,23348,-22.5,144.5
Queensland,2008,24496,-22.5,144.5
Queensland,2009,25262,-22.5,144.5
Queensland,2010,26410,-22.5,144.5
Queensland,2011,27175,-22.5,144.5
Queensland,2012,28324,-22.5,144.5
Queensland,2013,29472,-22.5,144.5
Queensland,2014,30620,-22.5,144.5
Queensland,2015,31768,-22.5,144.5
Queensland,2016,32917,-22.5,144.5
Queensland,2017,33682,-22.5,144.5
Queensland,2018,34448,-22.5,144.5
Queensland,2019,35213,-22.5,144.5
Queensland,2020,35979,-22.5,144.5
Queensland,2021,36744,-22.5,144.5
Queensland,2022,37510,-22.5,144.5
Queensland,2023,37892,-22.5,144.5
Queensland,2024,38275,-22.5,144.5
New South Wales,2000,13383,-32,147
New South Wales,2001,13977,-32,147
New South Wales,2002,14572,-32,147
New South Wales,2003,15167,-32,147
New South Wales,2004,16059,-32,147
New South Wales,2005,16951,-32,147
New South Wales,2006,17546,-32,147
New South Wales,2007,18141,-32,147
New South Wales,2008,19033,-32,147
New South Wales,2009,19628,-32,147
New South Wales,2010,20520,-32,147
New South Wales,2011,21115,-32,147
New South Wales,2012,22007,-32,147
New South Wales,2013,22899,-32,147
New South Wales,2014,23791,-32,147
New South Wales,2015,24683,-32,147
New South Wales,2016,25576,-32,147
New South Wales,2017,26170,-32,147
New South Wales,2018,26765,-32,147
New South Wales,2019,27360,-32,147
New South Wales,2020,27955,-32,147
New South Wales,2021,28549,-32,147
New South Wales,2022,29144,-32,147
New South Wales,2023,29442,-32,147
New South Wales,2024,29739,-32,147
Victoria,2000,8127,-37,144.5
Victoria,2001,8489,-37,144.5
Victoria,2002,8850,-37,144.5
Victoria,2003,9211,-37,144.5
Victoria,2004,9753,-37,144.5
Victoria,2005,10295,-37,144.5
Victoria,2006,10656,-37,144.5
Victoria,2007,11017,-37,144.5
Victoria,2008,11559,-37,144.5
Victoria,2009,11920,-37,144.5
Victoria,2010,12462,-37,144.5
Victoria,2011,12823,-37,144.5
Victoria,2012,13365,-37,144.5
Victoria,2013,13907,-37,144.5
Victoria,2014,14449,-37,144.5
Victoria,2015,14991,-37,144.5
Victoria,2016,15532,-37,144.5
Victoria,2017,15894,-37,144.5
Victoria,2018,16255,-37,144.5
Victoria,2019,16616,-37,144.5
Victoria,2020,16977,-37,144.5
Victoria,2021,17339,-37,144.5
Victoria,2022,17700,-37,144.5
Victoria,2023,17880,-37,144.5
Victoria,2024,18061,-37,144.5
Western Australia,2000,9423,-25,122
Western Australia,2001,9842,-25,122
Western Australia,2002,10261,-25,122
Western Australia,2003,10679,-25,122
Western Australia,2004,11308,-25,122
Western Australia,2005,11936,-25,122
Western Australia,2006,12355,-25,122
Western Australia,2007,12773,-25,122
Western Australia,2008,13402,-25,122
Western Australia,2009,13820,-25,122
Western Australia,2010,14449,-25,122
Western Australia,2011,14867,-25,122
Western Australia,2012,15496,-25,122
Western Australia,2013,16124,-25,122
Western Australia,2014,16752,-25,122
Western Australia,2015,17380,-25,122
Western Australia,2016,18008,-25,122
Western Australia,2017,18427,-25,122
Western Australia,2018,18846,-25,122
Western Australia,2019,19265,-25,122
Western Australia,2020,19684,-25,122
Western Australia,2021,20102,-25,122
Western Australia,2022,20521,-25,122
Western Australia,2023,20731,-25,122
Western Australia,2024,20940,-25,122
South Australia,2000,5396,-30,135
South Australia,2001,5636,-30,135
South Australia,2002,5876,-30,135
South Australia,2003,6116,-30,135
South Australia,2004,6476,-30,135
South Australia,2005,6835,-30,135
South Australia,2006,7075,-30,135
South Australia,2007,7315,-30,135
South Australia,2008,7675,-30,135
South Australia,2009,7915,-30,135
South Australia,2010,8274,-30,135
South Australia,2011,8514,-30,135
South Australia,2012,8874,-30,135
South Australia,2013,9234,-30,135
South Australia,2014,9594,-30,135
South Australia,2015,9953,-30,135
South Australia,2016,10313,-30,135
South Australia,2017,10553,-30,135
South Australia,2018,10793,-30,135
South Australia,2019,11033,-30,135
South Australia,2020,11272,-30,135
South Australia,2021,11512,-30,135
South Australia,2022,11752,-30,135
South Australia,2023,11872,-30,135
South Australia,2024,11992,-30,135
Tasmania,2000,5326,-42,146.5
Tasmania,2001,5562,-42,146.5
Tasmania,2002,5799,-42,146.5
Tasmania,2003,6036,-42,146.5
Tasmania,2004,6391,-42,146.5
Tasmania,2005,6746,-42,146.5
Tasmania,2006,6983,-42,146.5
Tasmania,2007,7219,-42,146.5
Tasmania,2008,7574,-42,146.5
Tasmania,2009,7811,-42,146.5
